,Country,Suicides_no,Population,Suicides per 100000 population
3,Aruba,7,95006,7.367955708
6,Bahamas,10,333869,2.995186735
7,Bahrain,19,1139160,1.667895642
8,Barbados,3,261927,1.145357294
11,Belize,15,283796,5.285486758
14,Canada,3951,32286140,12.23744926
17,Costa Rica,311,4184663,7.431900729
19,Cuba,1558,10725848,14.52565802
24,El Salvador,399,5560453,7.175674356
31,Grenada,0,94980,0
32,Guatemala,352,12682151,2.775554399
39,Jamaica,3,2586652,0.115980039
50,Mexico,4858,105875861,4.588392438
53,Nicaragua,351,5107427,6.87234492
56,Panama,151,3274415,4.611510758
61,Puerto Rico,286,3480379,8.217495853
66,Saint Lucia,4,161503,2.476734178
67,St. Vin. and Gren.,5,100050,4.997501249
79,Trinidad and Tobago,160,1231002,12.99754184
85,United States of America,38362,287839149,13.32758248
